strategy_id,strategy_category,male_population,training_status,starting_body_fat_context,nutrition_phase,calorie_adjustment_type,recommended_calorie_adjustment_low,recommended_calorie_adjustment_high,calorie_adjustment_unit,target_weight_change_rate_low,target_weight_change_rate_high,weight_change_rate_unit,protein_g_per_kg_low,protein_g_per_kg_high,fat_g_per_kg_low,fat_g_per_kg_high,carbohydrate_guidance,training_volume_adjustment,training_intensity_adjustment,cardio_guidance,recovery_guidance,expected_outcome,monitoring_metrics,adjustment_triggers,recommended_duration,contraindications_or_exceptions,evidence_strength,confidence_rating,supporting_study_ids,notes
strat_0001,moderate_cut,trained natural males with moderate body fat,intermediate,moderate,deficit,percent_maintenance,-20,-10,percent,-0.75,-0.25,percent_body_weight_per_week,1.8,2.4,0.6,1,Allocate remaining calories to carbohydrate; place a meaningful portion around training when useful.,Retain productive volume; reduce 0-20% only if recovery declines.,Retain moderate/heavy load exposure and target RIR.,Use the minimum cardio needed; increase gradually.,Prioritize sleep and manage rate of loss.,Primarily fat loss with better lean-mass retention than aggressive restriction,7_day_weight_average|waist|training_performance|hunger|sleep,"If loss exceeds target for 2 weeks or multi-lift performance declines, add calories or reduce fatigue.",6-16 weeks,"Avoid aggressive restriction when already very lean, medically contraindicated, or showing low energy availability.",high,moderate,stu_0018|stu_0019|stu_0020,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0002,higher_body_fat_cut,higher-body-fat resistance-training-eligible males,novice,high,deficit,percent_maintenance,-25,-15,percent,-1,-0.5,percent_body_weight_per_week,1.6,2.2,0.6,1,Carbohydrate based on preference and training performance after protein/fat targets.,Start at normal novice volume; avoid adding volume solely to burn calories.,Progress where possible; stable strength is not the ceiling in novices.,Low-impact cardio may support the deficit.,"Monitor joint tolerance, sleep, and adherence.",Substantial fat loss with reasonable recomposition potential,weight_trend|waist|photos|strength|reps|rir,Reduce deficit if loss exceeds 1%/week repeatedly or recovery deteriorates.,8-24 weeks with maintenance breaks as needed,Medical obesity or comorbidities may require clinician-led nutrition care.,moderate,moderate,stu_0019|stu_0021|stu_0023,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0003,lean_advanced_cut,lean advanced natural males,advanced,low,deficit,percent_maintenance,-15,-5,percent,-0.5,-0.25,percent_body_weight_per_week,2,2.4,0.7,1,Preserve carbohydrate around demanding sessions when possible.,Retain high-value sets; reduce 10-30% when repeated recovery issues occur.,Keep load exposure but avoid excessive failure work.,Conservative low-impact cardio; avoid abrupt increases.,"Watch mood, libido, sleep, resting heart rate, and persistent performance loss.",Slow fat loss with reduced but not eliminated lean-mass risk,weight_trend|performance|sleep|libido|mood|hunger,Stop or use maintenance if low-energy-availability symptoms or persistent regressions emerge.,4-12 weeks,Contest-level leanness carries health risks and is outside general fitness recommendations.,moderate,moderate,stu_0018|stu_0019,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0004,maintenance_phase,all healthy natural males,all,all,maintenance,percent_maintenance,-3,3,percent,-0.1,0.1,percent_body_weight_per_week,1.6,2.2,0.6,1.2,Adjust carbohydrate to activity and training quality.,Use productive or maintenance volume according to goal.,Progress normally when recovery supports it.,Cardio for health and work capacity without compromising lifting.,Use stable weight to calibrate energy needs over at least 2 weeks.,Weight stability with performance recovery or slow recomp,14_day_weight_trend|waist|performance|recovery,Adjust calories 3-5% after at least 2 weeks outside desired weight band.,2-8 weeks or indefinite,Short-term water shifts can mimic energy imbalance.,moderate,high,stu_0016|stu_0019,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0005,novice_recomposition,untrained or novice natural males,novice,moderate_to_high,recomposition,percent_maintenance,-15,0,percent,-0.75,0,percent_body_weight_per_week,1.6,2.2,0.6,1,Support progressive training with sufficient carbohydrate.,"Use a recoverable novice program, not high-volume specialization.",Expect rep/load progression despite stable or falling scale weight.,Optional; prioritize resistance training.,Sleep 7-9 hours when feasible and maintain consistency.,Fat loss with simultaneous lean-mass gain is plausible,waist|photos|strength|reps|weight_trend,"If waist and performance both stagnate 3-4 weeks, adjust calories or program after adherence audit.",8-24 weeks,Do not promise recomposition magnitude; measurement error is substantial.,moderate,moderate,stu_0021|stu_0023,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0006,detrained_recomposition,previously trained detrained natural males,intermediate,all,recomposition,percent_maintenance,-10,5,percent,-0.5,0.25,percent_body_weight_per_week,1.6,2.2,0.6,1,Adequate carbohydrate to restore training performance.,Ramp from roughly 50-70% of prior volume over 2-4 weeks.,Use conservative loads initially and progress technique first.,Keep cardio stable during re-entry.,Manage soreness from renewed-training effect.,Regain of prior muscle while maintaining or losing fat is plausible,performance|circumference|waist|weight|soreness,Slow the ramp if soreness affects next sessions or technique.,8-16 weeks,Prior injury or long layoff may require professional clearance.,low,moderate,stu_0023|stu_0027,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0007,small_surplus_advanced,advanced lean natural males,advanced,low_to_moderate,surplus,percent_maintenance,3,8,percent,0.1,0.25,percent_body_weight_per_week,1.6,2.2,0.6,1.2,Use carbohydrate to support high-quality training after protein/fat minimums.,Maintain productive volume; add sets only with evidence of need.,Seek slow multi-session progression.,Keep cardio stable for health and appetite management.,Track long trends; avoid reacting to glycogen/water noise.,Slow tissue gain with lower expected fat gain than aggressive surplus,14_day_weight_trend|waist|performance|photos,"If gain exceeds 0.25%/week for 2-3 weeks with rapid waist gain, reduce calories 3-5%.",12-32 weeks,A surplus is not guaranteed to accelerate advanced hypertrophy.,low,low,stu_0022|stu_0036,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0008,moderate_surplus_novice,lean novice or intermediate natural males,mixed,low_to_moderate,surplus,percent_maintenance,5,15,percent,0.15,0.5,percent_body_weight_per_week,1.6,2.2,0.6,1.2,Carbohydrate should generally provide the remaining energy to support training.,Use status-appropriate productive volume; more food does not justify unrecoverable sets.,Expect regular rep/load progress when technique is stable.,Keep cardio consistent rather than eliminating it.,Monitor weight and waist using 2-3 week trends.,Muscle and strength gain with some fat gain,weight_trend|waist|performance|recovery,Reduce surplus when rate exceeds status-specific target or waist rises without performance benefit.,12-32 weeks,Higher starting body fat may favor maintenance/recomposition before intentional surplus.,low,low,stu_0022|stu_0036,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0009,large_surplus_not_default,natural males,all,all,surplus,percent_maintenance,20,30,percent,0.5,1,percent_body_weight_per_week,1.6,2.2,0.6,1.2,No special carbohydrate allocation makes a large surplus muscle-specific.,Do not raise volume automatically.,No evidence-based expectation of proportionally faster hypertrophy.,Maintain health-oriented cardio.,Monitor rapid waist and fat gain.,Likely disproportionate fat gain for most trained natural males,weight_trend|waist|body_composition|performance,Reduce calories promptly when gain exceeds target without exceptional context.,not_recommended_as_default,May be appropriate only for clinically underweight males under professional guidance.,low,moderate,stu_0022|stu_0036,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0010,high_protein_distribution,healthy natural males,all,all,all,not_applicable,,,,,,percent_body_weight_per_week,1.6,2.2,0.6,1.2,"Distribute protein across 3-5 meals, often 0.3-0.55 g/kg per meal; total daily intake is primary.",No change required.,No change required.,Not applicable.,Choose a pattern that supports adherence and sleep.,Convenient coverage of daily protein with uncertain incremental benefit from perfect distribution,daily_protein|meal_count|gastrointestinal_tolerance,Simplify meal timing if it harms adherence; do not exceed calories merely to hit meal targets.,indefinite,Kidney disease or prescribed protein restriction requires clinician guidance.,high,moderate,stu_0016|stu_0017|stu_0033|stu_0034,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0011,diet_break_or_refeed,lean resistance-trained natural males in prolonged deficits,mixed,low,deficit,maintenance_days,1,14,days,,,percent_body_weight_per_week,1.8,2.4,0.6,1,Raise carbohydrate primarily while keeping protein stable; preserve the planned average deficit unless taking a maintenance break.,Maintain or slightly reduce volume according to fatigue.,"Use restored carbohydrate to support performance, not forced PRs.",Keep cardio stable or reduce briefly if fatigue-driven.,"Use for adherence, performance, or fatigue management rather than claimed metabolic reset.",Possible short-term performance/adherence benefit; body-composition superiority is uncertain,performance|hunger|adherence|weight_trend,Return to continuous dieting if breaks trigger loss of control or erase the intended deficit.,1-2 refeed days or 1-2 maintenance weeks,Evidence is small and mixed-sex; not required for successful fat loss.,low,low,stu_0035,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0012,deficit_performance_response,trained natural males in deficit,mixed,all,deficit,not_applicable,,,,,,percent_body_weight_per_week,1.8,2.4,0.6,1,Increase calories/carbohydrate if loss is above target and performance repeatedly declines.,First remove low-value fatigue; do not remove all heavy exposure.,Treat stable strength as success; use multi-session trends.,Reduce added cardio if it coincides with recovery decline.,Audit sleep and life stress.,Preserve muscle by correcting overly aggressive energy or fatigue load,multi_lift_performance|weight_loss_rate|sleep|soreness|hunger,"If two or more lifts regress for 2+ comparable sessions and weight loss is above target, add 5-10% calories or reduce expenditure.",as_needed,Pain or illness requires separate evaluation.,moderate,moderate,stu_0019|stu_0020,"Ranges are application defaults, not individualized medical nutrition prescriptions."
strat_0013,enhanced_population_separation,enhanced males,all,all,all,not_applicable,,,,,,percent_body_weight_per_week,,,,,No recommendation provided.,Do not apply natural-male dose or gain expectations as validated for enhanced males.,No recommendation provided.,No recommendation provided.,Medical supervision is essential.,Population is explicitly separated; no combined recommendation,not_applicable,Do not infer from natural-male tables.,not_applicable,Non-medical anabolic drug use has material health risks and is outside this database's prescriptive scope.,very_low,very_low,,"Ranges are application defaults, not individualized medical nutrition prescriptions."
